읍면동코드,시도,객체시군구코드,시군구,읍면동명,중심점_longitude,중심점_latitude,순위,시설명,시설_시도,시설_시군구,시설_longitude,시설_latitude,직선거리_km
11110179,서울특별시,11110,종로구,홍파동,126.96397394,37.57114743,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,23.09
11110158,서울특별시,11110,종로구,예지동,126.99829833,37.56963411,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,14.73
11110158,서울특별시,11110,종로구,예지동,126.99829833,37.56963411,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,17.36
11110158,서울특별시,11110,종로구,예지동,126.99829833,37.56963411,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,22.62
11140101,서울특별시,11140,중구,무교동,126.97901632,37.56815906,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.18
11140101,서울특별시,11140,중구,무교동,126.97901632,37.56815906,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,16.60
11140101,서울특별시,11140,중구,무교동,126.97901632,37.56815906,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,23.71
11110178,서울특별시,11110,종로구,송월동,126.96523119,37.57008444,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.84
11110178,서울특별시,11110,종로구,송월동,126.96523119,37.57008444,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.90
11110178,서울특별시,11110,종로구,송월동,126.96523119,37.57008444,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,23.15
11110120,서울특별시,11110,종로구,신문로1가,126.97391032,37.57018639,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.57
11110120,서울특별시,11110,종로구,신문로1가,126.97391032,37.57018639,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,16.18
